Date,Event,Relative Rating, Absolute Rating
1984-07-23,WWF The Brawl to End it All,9.00,-
1985-05-11,WWF Saturday Night's Main Event #1,8.80,-
1985-10-05,WWF Saturday Night's Main Event #2,8.30,-
1985-11-02,WWF Saturday Night's Main Event #3,6.80,-
1986-01-04,WWF Saturday Night's Main Event #4,10.40,-
1986-03-01,WWF Saturday Night's Main Event #5,10.00,-
1986-05-03,WWF Saturday Night's Main Event #6,9.30,-
1986-10-04,WWF Saturday Night's Main Event #7,9.40,-
1986-11-29,WWF Saturday Night's Main Event #8,9.40,-
1987-01-03,WWF Saturday Night's Main Event #9,10.60,-
1987-03-14,WWF Saturday Night's Main Event #10,11.60,-
1987-05-02,WWF Saturday Night's Main Event #11,9.50,-
1987-10-03,WWF Saturday Night's Main Event #12,9.70,-
1988-01-24,WWF Royal Rumble 1988,8.20,-
1988-02-05,WWF The Main Event I,15.20,-
1988-03-12,WWF Saturday Night's Main Event #15,10.00,-
1988-10-29,WWF Saturday Night's Main Event #17,8.70,-
1988-11-26,WWF Saturday Night's Main Event #18,9.40,-
1989-02-03,WWF The Main Event II,11.60,-
1989-03-11,WWF Saturday Night's Main Event #20,10.00,-
1989-11-12,WWF Survivor Series Showdown 1989,3.90,-
1989-11-25,WWF Saturday Night's Main Event #24,8.70,-
1990-01-27,WWF Saturday Night's Main Event #25,11.10,-
1990-02-23,WWF The Main Event III,12.80,-
1990-03-25,WWF Ultimate Challenge,3.30,-
1990-07-28,WWF Saturday Night's Main Event #27 - Wild Kingdom,7.20,-
1990-08-19,WWF SummerSlam Fever,3.60,-
1990-11-18,WWF Survivor Series Showdown 1990,3.10,-
1990-11-23,WWF The Main Event IV,8.60,-
1991-02-01,WWF The Main Event V,6.70,-
1991-03-17,WWF Road to WrestleMania VII,3.80,-
1991-04-27,WWF Saturday Night's Main Event #29,7.70,-
1991-08-18,WWF Summer Slam Spectacular 1991,3.60,-
1991-11-24,WWF Survivor Series Showdown 1991,3.70,-
